GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tamper-evident-audit-log,com.example.audit.domain,IdempotencyRecord,12,27,0,0,4,11,4,4,4,4
tamper-evident-audit-log,com.example.audit.domain,ChainHead,3,28,0,0,1,12,1,5,1,5
tamper-evident-audit-log,com.example.audit.domain,AuditRecord,0,95,0,0,0,33,0,18,0,18
tamper-evident-audit-log,com.example.audit.domain,RedactionEntry,3,72,0,0,1,26,1,13,1,13
tamper-evident-audit-log,com.example.audit.domain,ChainCheckpoint,0,82,0,0,0,20,0,11,0,11
tamper-evident-audit-log,com.example.audit.util,CanonicalJson,14,20,0,0,4,5,0,3,0,3
tamper-evident-audit-log,com.example.audit.util,Hashing,7,11,0,0,2,2,0,1,0,1
tamper-evident-audit-log,com.example.audit.api,ApiModels.CheckpointResponse,0,24,0,0,0,1,0,1,0,1
tamper-evident-audit-log,com.example.audit.api,ApiModels.RedactionRequest,0,9,0,0,0,1,0,1,0,1
tamper-evident-audit-log,com.example.audit.api,ApiModels.ExportManifest,0,33,0,0,0,1,0,1,0,1
tamper-evident-audit-log,com.example.audit.api,AuditController,0,217,2,12,0,38,2,18,0,13
tamper-evident-audit-log,com.example.audit.api,ApiModels.CreateAuditEventRequest,0,18,0,0,0,1,0,1,0,1
tamper-evident-audit-log,com.example.audit.api,ApiModels.ExportRecord,0,12,0,0,0,1,0,1,0,1
tamper-evident-audit-log,com.example.audit.api,ApiModels.AppendOutcome,0,9,0,0,0,1,0,1,0,1
tamper-evident-audit-log,com.example.audit.api,ApiModels.AuditEventResponse,0,45,0,0,0,1,0,1,0,1
tamper-evident-audit-log,com.example.audit.api,ApiModels.ArchiveResponse,0,15,0,0,0,1,0,1,0,1
tamper-evident-audit-log,com.example.audit.api,ApiExceptionHandler,12,50,0,0,4,17,1,5,1,5
tamper-evident-audit-log,com.example.audit.api,ApiModels.RedactionEntryView,0,30,0,0,0,1,0,1,0,1
tamper-evident-audit-log,com.example.audit.api,ApiModels.VerificationResponse,0,21,0,0,0,1,0,1,0,1
tamper-evident-audit-log,com.example.audit.api,ApiModels.RedactionResponse,0,15,0,0,0,1,0,1,0,1
tamper-evident-audit-log,com.example.audit,AuditLogApplication,5,3,0,0,2,1,1,1,1,1
tamper-evident-audit-log,com.example.audit.security,AuthenticatedActor,0,15,0,0,0,1,0,1,0,1
tamper-evident-audit-log,com.example.audit.security,RateLimitFilter,5,108,3,9,2,25,3,7,0,4
tamper-evident-audit-log,com.example.audit.security,AuditAccessPolicy,0,78,0,14,0,21,0,12,0,5
tamper-evident-audit-log,com.example.audit.security,RateLimitFilter.Window,0,11,0,0,0,2,0,1,0,1
tamper-evident-audit-log,com.example.audit.security,RequestSizeLimitFilter,0,37,0,2,0,13,0,3,0,2
tamper-evident-audit-log,com.example.audit.security,ActorResolver,2,148,5,19,0,30,5,13,0,6
tamper-evident-audit-log,com.example.audit.service,RetentionService,45,53,6,2,8,12,5,7,2,6
tamper-evident-audit-log,com.example.audit.service,ExportVerifier,57,302,10,32,14,67,10,17,0,6
tamper-evident-audit-log,com.example.audit.service,SigningService,23,74,0,4,6,16,2,8,2,6
tamper-evident-audit-log,com.example.audit.service,ExportService,6,185,5,15,0,36,5,9,0,4
tamper-evident-audit-log,com.example.audit.service,AuditService,115,1005,19,59,11,173,22,47,4,26
tamper-evident-audit-log,com.example.audit.service,AuditAppender,17,121,2,4,3,25,3,3,1,2
tamper-evident-audit-log,com.example.audit.service,ExportCanonicalForm,0,210,0,4,0,15,0,3,0,1
tamper-evident-audit-log,com.example.audit.service,IdempotencyConflictException,0,4,0,0,0,2,0,1,0,1
tamper-evident-audit-log,com.example.audit.service,CheckpointService,0,117,0,2,0,25,0,5,0,4
tamper-evident-audit-log,com.example.audit.service,PayloadTooLargeException,4,0,0,0,2,0,1,0,1,0
tamper-evident-audit-log,com.example.audit.service,ChainHeadService,2,27,1,3,1,10,1,3,0,2
tamper-evident-audit-log,com.example.audit.service,ExportVerifier.Result,0,17,0,0,0,2,0,2,0,2
tamper-evident-audit-log,com.example.audit.service,ChainHeadService.Creator,0,17,0,0,0,5,0,2,0,2
tamper-evident-audit-log,com.example.audit.config,AuditProperties.Identity,12,33,0,0,3,10,3,6,3,6
tamper-evident-audit-log,com.example.audit.config,AuditProperties.Signing,0,50,0,0,0,15,0,11,0,11
tamper-evident-audit-log,com.example.audit.config,ProductionSecurityValidator,0,218,3,39,0,45,3,21,0,3
tamper-evident-audit-log,com.example.audit.config,AuditProperties.Idempotency,10,10,0,0,3,3,3,2,3,2
tamper-evident-audit-log,com.example.audit.config,AuditProperties.Basic,0,43,0,0,0,13,0,9,0,9
tamper-evident-audit-log,com.example.audit.config,AuditProperties,0,59,0,0,0,15,0,8,0,8
tamper-evident-audit-log,com.example.audit.config,AuditProperties.Oidc,4,36,0,0,1,11,1,8,1,8
tamper-evident-audit-log,com.example.audit.config,SigningKeyStoreConfig,0,78,1,9,0,16,1,7,0,3
tamper-evident-audit-log,com.example.audit.config,ExportVerificationConfig,0,8,0,0,0,2,0,2,0,2
tamper-evident-audit-log,com.example.audit.config,AuditProperties.Payload,0,13,0,0,0,4,0,3,0,3
tamper-evident-audit-log,com.example.audit.config,AuditProperties.Tls,0,10,0,0,0,4,0,3,0,3
tamper-evident-audit-log,com.example.audit.config,SecurityConfig,86,471,16,20,13,86,14,25,2,19
tamper-evident-audit-log,com.example.audit.config,AuditProperties.RateLimit,0,23,0,0,0,7,0,5,0,5
tamper-evident-audit-log,com.example.audit.config,AuditProperties.Cors,0,15,0,0,0,4,0,3,0,3
tamper-evident-audit-log,com.example.audit.config,AuditProperties.Security,4,38,0,0,1,10,1,6,1,6
tamper-evident-audit-log,com.example.audit.config,OpenApiConfig,0,23,0,0,0,7,0,2,0,2
tamper-evident-audit-log,com.example.audit.config,AuditProperties.PrincipalBinding,0,23,0,0,0,7,0,5,0,5
tamper-evident-audit-log,com.example.audit.config,AuditProperties.Retention,10,20,0,0,3,6,3,4,3,4
tamper-evident-audit-log,com.example.audit.security.keys,SigningKey,16,68,0,0,4,13,0,4,0,4
tamper-evident-audit-log,com.example.audit.security.keys,FileSigningKeyStore,43,202,6,8,6,43,7,13,1,12
tamper-evident-audit-log,com.example.audit.security.keys,EphemeralSigningKeyStore,26,48,2,2,5,10,4,5,2,5
tamper-evident-audit-log,com.example.audit.security.keys,ConfiguredSigningKeyStore,18,59,2,4,2,14,5,5,3,4
tamper-evident-audit-log,com.example.audit.security.keys,FileSigningKeyStore.StoreDocument,0,9,0,0,0,1,0,1,0,1
